Asset_id,Contract_id,RIC,ExpDate,ExpDateNew
1,200003,YTCH0,Mar-00,Mar00
1,200006,YTCM0,Jun-00,Jun00
1,200009,YTCU0,Sep-00,Sep00
1,200012,YTCZ0,Dec-00,Dec00
1,200103,YTCH1,1-Mar,Mar01
1,200106,YTCM1,1-Jun,Jun01
1,200109,YTCU1,1-Sep,Sep01
1,200112,YTCZ1,1-Dec,Dec01
1,200203,YTCH2,2-Mar,Mar02
1,200206,YTCM2,2-Jun,Jun02
1,200209,YTCU2,2-Sep,Sep02
1,200212,YTCZ2,2-Dec,Dec02
1,200303,YTCH3,3-Mar,Mar03
1,200306,YTCM3,3-Jun,Jun03
1,200309,YTCU3,3-Sep,Sep03
1,200312,YTCZ3,3-Dec,Dec03
1,200403,YTCH4,4-Mar,Mar04
1,200406,YTCM4,4-Jun,Jun04
1,200409,YTCU4,4-Sep,Sep04
1,200412,YTCZ4,4-Dec,Dec04
1,200503,YTCH5,5-Mar,Mar05
1,200506,YTCM5,5-Jun,Jun05
1,200509,YTCU5,5-Sep,Sep05
1,200512,YTCZ5,5-Dec,Dec05
1,200603,YTCH6,6-Mar,Mar06
1,200606,YTCM6,6-Jun,Jun06
1,200609,YTCU6,6-Sep,Sep06
1,200612,YTCZ6,6-Dec,Dec06
1,200703,YTCH7,7-Mar,Mar07
1,200706,YTCM7,7-Jun,Jun07
1,200709,YTCU7,7-Sep,Sep07
1,200712,YTCZ7,7-Dec,Dec07
1,200803,YTCH8,8-Mar,Mar08
1,200806,YTCM8,8-Jun,Jun08
1,200809,YTCU8,8-Sep,Sep08
1,200812,YTCZ8,8-Dec,Dec08
1,200903,YTCH9,9-Mar,Mar09
1,200906,YTCM9,9-Jun,Jun09
1,200909,YTCU9,9-Sep,Sep09
1,200912,YTCZ9,9-Dec,Dec09
1,201003,YTCH0,10-Mar,Mar10
1,201006,YTCM0,10-Jun,Jun10
1,201009,YTCU0,10-Sep,Sep10
1,201012,YTCZ0,10-Dec,Dec10
1,201103,YTCH1,11-Mar,Mar11
1,201106,YTCM1,11-Jun,Jun11
1,201109,YTCU1,11-Sep,Sep11
1,201112,YTCZ1,11-Dec,Dec11
1,201203,YTCH2,12-Mar,Mar12
1,201206,YTCM2,12-Jun,Jun12
1,201209,YTCU2,12-Sep,Sep12
1,201212,YTCZ2,12-Dec,Dec12
1,201303,YTCH3,13-Mar,Mar13
1,201306,YTCM3,13-Jun,Jun13
1,201309,YTCU3,13-Sep,Sep13
1,201312,YTCZ3,13-Dec,Dec13
1,201403,YTCH4,14-Mar,Mar14
1,201406,YTCM4,14-Jun,Jun14
1,201409,YTCU4,14-Sep,Sep14
1,201412,YTCZ4,14-Dec,Dec14
1,201503,YTCH5,15-Mar,Mar15
1,201506,YTCM5,15-Jun,Jun15
1,201509,YTCU5,15-Sep,Sep15
1,201512,YTCZ5,15-Dec,Dec15
1,201603,YTCH6,16-Mar,Mar16
1,201606,YTCM6,16-Jun,Jun16
1,201609,YTCU6,16-Sep,Sep16
1,201612,YTCZ6,16-Dec,Dec16
1,201703,YTCH7,17-Mar,Mar17
1,201706,YTCM7,17-Jun,Jun17
1,201709,YTCU7,17-Sep,Sep17
1,201712,YTCZ7,17-Dec,Dec17
1,201803,YTCH8,18-Mar,Mar18
1,201806,YTCM8,18-Jun,Jun18
1,201809,YTCU8,18-Sep,Sep18
1,201812,YTCZ8,18-Dec,Dec18
1,201903,YTCH9,19-Mar,Mar19
1,201906,YTCM9,19-Jun,Jun19
1,201909,YTCU9,19-Sep,Sep19
1,201912,YTCZ9,19-Dec,Dec19
1,202003,YTCH0,20-Mar,Mar20
1,202006,YTCM0,20-Jun,Jun20
1,202009,YTCU0,20-Sep,Sep20
1,202012,YTCZ0,20-Dec,Dec20
1,202103,YTCH1,21-Mar,Mar21
1,202106,YTCM1,21-Jun,Jun21
1,202109,YTCU1,21-Sep,Sep21
1,202112,YTCZ1,21-Dec,Dec21
1,202203,YTCH2,22-Mar,Mar22
1,202206,YTCM2,22-Jun,Jun22
1,202209,YTCU2,22-Sep,Sep22
1,202212,YTCZ2,22-Dec,Dec22
1,202303,YTCH3,23-Mar,Mar23
1,202306,YTCM3,23-Jun,Jun23
1,202309,YTCU3,23-Sep,Sep23
1,202312,YTCZ3,23-Dec,Dec23
1,202403,YTCH4,24-Mar,Mar24
1,202406,YTCM4,24-Jun,Jun24
1,202409,YTCU4,24-Sep,Sep24
1,202412,YTCZ4,24-Dec,Dec24
1,202503,YTCH5,25-Mar,Mar25
1,202506,YTCM5,25-Jun,Jun25
1,202509,YTCU5,25-Sep,Sep25
1,202512,YTCZ5,25-Dec,Dec25
1,202603,YTCH6,26-Mar,Mar26
2,200003,YBAH0,Mar-00,Mar00
2,200006,YBAM0,Jun-00,Jun00
2,200009,YBAU0,Sep-00,Sep00
2,200012,YBAZ0,Dec-00,Dec00
2,200103,YBAH1,1-Mar,Mar01
2,200106,YBAM1,1-Jun,Jun01
2,200109,YBAU1,1-Sep,Sep01
2,200112,YBAZ1,1-Dec,Dec01
2,200203,YBAH2,2-Mar,Mar02
2,200206,YBAM2,2-Jun,Jun02
2,200209,YBAU2,2-Sep,Sep02
2,200212,YBAZ2,2-Dec,Dec02
2,200303,YBAH3,3-Mar,Mar03
2,200306,YBAM3,3-Jun,Jun03
2,200309,YBAU3,3-Sep,Sep03
2,200312,YBAZ3,3-Dec,Dec03
2,200403,YBAH4,4-Mar,Mar04
2,200406,YBAM4,4-Jun,Jun04
2,200409,YBAU4,4-Sep,Sep04
2,200412,YBAZ4,4-Dec,Dec04
2,200503,YBAH5,5-Mar,Mar05
2,200506,YBAM5,5-Jun,Jun05
2,200509,YBAU5,5-Sep,Sep05
2,200512,YBAZ5,5-Dec,Dec05
2,200603,YBAH6,6-Mar,Mar06
2,200606,YBAM6,6-Jun,Jun06
2,200609,YBAU6,6-Sep,Sep06
2,200612,YBAZ6,6-Dec,Dec06
2,200703,YBAH7,7-Mar,Mar07
2,200706,YBAM7,7-Jun,Jun07
2,200709,YBAU7,7-Sep,Sep07
2,200712,YBAZ7,7-Dec,Dec07
2,200803,YBAH8,8-Mar,Mar08
2,200806,YBAM8,8-Jun,Jun08
2,200809,YBAU8,8-Sep,Sep08
2,200812,YBAZ8,8-Dec,Dec08
2,200903,YBAH9,9-Mar,Mar09
2,200906,YBAM9,9-Jun,Jun09
2,200909,YBAU9,9-Sep,Sep09
2,201012,YBAZ0,10-Dec,Dec10
2,201103,YBAH1,11-Mar,Mar11
2,201106,YBAM1,11-Jun,Jun11
2,201109,YBAU1,11-Sep,Sep11
2,201112,YBAZ1,11-Dec,Dec11
2,201203,YBAH2,12-Mar,Mar12
2,201206,YBAM2,12-Jun,Jun12
2,201209,YBAU2,12-Sep,Sep12
2,201212,YBAZ2,12-Dec,Dec12
2,201303,YBAH3,13-Mar,Mar13
2,201306,YBAM3,13-Jun,Jun13
2,201309,YBAU3,13-Sep,Sep13
2,201312,YBAZ3,13-Dec,Dec13
2,201403,YBAH4,14-Mar,Mar14
2,201406,YBAM4,14-Jun,Jun14
2,201409,YBAU4,14-Sep,Sep14
2,201412,YBAZ4,14-Dec,Dec14
2,201503,YBAH5,15-Mar,Mar15
2,201506,YBAM5,15-Jun,Jun15
2,201509,YBAU5,15-Sep,Sep15
2,201512,YBAZ5,15-Dec,Dec15
2,201603,YBAH6,16-Mar,Mar16
2,201606,YBAM6,16-Jun,Jun16
2,201609,YBAU6,16-Sep,Sep16
2,201612,YBAZ6,16-Dec,Dec16
2,201703,YBAH7,17-Mar,Mar17
2,201706,YBAM7,17-Jun,Jun17
2,201709,YBAU7,17-Sep,Sep17
2,201712,YBAZ7,17-Dec,Dec17
2,201803,YBAH8,18-Mar,Mar18
2,201806,YBAM8,18-Jun,Jun18
2,201809,YBAU8,18-Sep,Sep18
2,201812,YBAZ8,18-Dec,Dec18
2,201903,YBAH9,19-Mar,Mar19
2,201906,YBAM9,19-Jun,Jun19
2,201909,YBAU9,19-Sep,Sep19
2,201912,YBAZ9,19-Dec,Dec19
2,202003,YBAH0,20-Mar,Mar20
2,202006,YBAM0,20-Jun,Jun20
2,202009,YBAU0,20-Sep,Sep20
2,202012,YBAZ0,20-Dec,Dec20
2,202103,YBAH1,21-Mar,Mar21
2,202106,YBAM1,21-Jun,Jun21
2,202109,YBAU1,21-Sep,Sep21
2,202112,YBAZ1,21-Dec,Dec21
2,202203,YBAH2,22-Mar,Mar22
2,202206,YBAM2,22-Jun,Jun22
2,202209,YBAU2,22-Sep,Sep22
2,202212,YBAZ2,22-Dec,Dec22
2,202303,YBAH3,23-Mar,Mar23
2,202306,YBAM3,23-Jun,Jun23
2,202309,YBAU3,23-Sep,Sep23
2,202312,YBAZ3,23-Dec,Dec23
2,202403,YBAH4,24-Mar,Mar24
2,202406,YBAM4,24-Jun,Jun24
2,202409,YBAU4,24-Sep,Sep24
2,202412,YBAZ4,24-Dec,Dec24
2,202503,YBAH5,25-Mar,Mar25
2,202506,YBAM5,25-Jun,Jun25
2,202509,YBAU5,25-Sep,Sep25
2,202512,YBAZ5,25-Dec,Dec25
2,202603,YBAH6,26-Mar,Mar26
2,202606,YBAM6,26-Jun,Jun26
2,202609,YBAU6,26-Sep,Sep26
2,202612,YBAZ6,26-Dec,Dec26
2,202703,YBAH7,27-Mar,Mar27
3,200003,CGBH0,Mar-00,Mar00
3,200006,CGBM0,Jun-00,Jun00
3,200009,CGBU0,Sep-00,Sep00
3,200012,CGBZ0,Dec-00,Dec00
3,200103,CGBH1,1-Mar,Mar01
3,200106,CGBM1,1-Jun,Jun01
3,200109,CGBU1,1-Sep,Sep01
3,200112,CGBZ1,1-Dec,Dec01
3,200203,CGBH2,2-Mar,Mar02
3,200206,CGBM2,2-Jun,Jun02
