asset_id,function,days_before,num_day,months_before,day,succeed
1,fixed,0,15,0,,1
2,relative,2,2,0,Fri,
3,fixed,8,last,0,,
4,fixed,3,10,0,,1
5,relative,3,3,0,Wed,
6,fixed,5,20,0,,
7,fixed,2,last,0,,
8,fixed,7,last,0,,1
9,relative,3,3,0,Wed,1
10,relative,3,3,0,Wed,1
11,relative,3,3,0,Wed,1
12,relative,3,3,0,Wed,1
13,relative,3,3,0,Wed,1
14,relative,3,3,0,Wed,1
15,relative,3,3,0,Wed,1
16,relative,3,3,0,Wed,1
17,relative,3,3,0,Wed,1
18,relative,3,3,0,Wed,1
19,relative,1,3,0,Thu,
20,relative,1,3,0,Fri,
21,relative,1,3,0,Fri,
22,relative,0,3,0,Fri,
23,fixed,1,last,0,,
25,relative,1,2,0,Fri,
26,relative,1,2,0,Fri,
27,relative,1,3,0,Fri,
28,relative,0,3,0,Fri,
30,relative,0,3,0,Fri,
31,fixed,1,last,0,,
32,relative,1,3,0,Fri,
33,fixed,1,15,0,,1
34,fixed,1,15,0,,1
35,fixed,1,15,0,,1
36,fixed,1,15,0,,1
37,fixed,3,14,0,,
38,fixed,8,last,0,,
39,fixed,0,last,2,,
40,fixed,0,last,1,,
43,fixed,0,last,1,,
44,fixed,2,last,1,,
45,fixed,3,25,1,,
46,fixed,0,last,1,,
47,relative,1,3,0,Fri,1
48,fixed,2,last,0,,
49,fixed,2,last,0,,
50,relative,2,3,0,Wed,
51,relative,2,3,0,Wed,
52,relative,1,3,0,Wed,
53,fixed,1,last,1,,
56,fixed,17,last,0,,
57,fixed,11,last,0,,
58,fixed,1,15,0,,1
59,relative,1,3,0,Fri,
60,relative,1,2,0,Fri,
61,fixed,2,last,0,,1
62,fixed,1,last,0,,
63,relative,3,3,0,Wed,1
64,relative,1,3,0,Fri,1
65,fixed,1,last,0,,1
66,fixed,1,last,1,,
67,fixed,1,last,0,,1
68,fixed,3,10,0,,1
69,biz,1,10,0,,1
70,fixed,1,15,0,,1
71,fixed,8,last,0,,1
72,relative,1,3,0,Fri,1
